,Hbottbodo,Hbottmottittrana,Hhttelverum,Hhttevenstad,Hhtthamar,Hhttkongsvinger,Hhttrena,Hhtttynset,Hiakttkjeller,Hiattalesund,Hibuttdrammen,Hibutthonefoss,Hibuttkongsberg,Hifttalta,Hiftthammerfest,Hifttkirkenes,Hifttvadso,Higttgjovik,Hihttharstad,Hilttlillehammer,Hinettmottittrana,Hinettnesna,Hinettsandnesjoen,Hingttstjordal,Hinttnarvik,Hintttlevanger,Hintttnamsos,Hintttsteinkjer,Hiottfredrikstad,Hiotthalden,Hitttbo,Hitttnotodden,Hitttporsgrunn,Hitttrauland,Hsfttforde,Hsfttsandane,Hsfttsongdal,Hshtthaugesund,Hshttstord,Hsmttkristiansun,Hsmttmolde,Hvettborre,Hvettlarvik,Hvottvolda,Nbttmottittrana,Nordunetttkobenhavn,Nordunetttstockholm,Nordunetttstockholmid58,Ntnutthovedbygget,Ntnuttrealfagbygget,Nyalesund,Peerhingttstjordal_0,Sa_shttkautokeino,Stockholm,Uiattgrimstad,Uiattkristiansand,Uibttbt,Uibtthoyteklogibygget,Uio,Uioid1,Uiottstttolavsplasstt5,Uisttstavanger,Uito,Uitoid43,Uitottkarasjok,Umbttas,Unikttkjeller,Uninettttteknobyen,Unisttsvalbard,Vethsttsandnes,d_in,d_out,CB,EC
Hvettborre,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.034,"[{'Next_Hop': 'hvettborre_FastEthernet0/1', 'Networks': '10.0.0.43/32|10.0.0.42/31'}, {'Next_Hop': 'hvettborre_FastEthernet1/0', 'Networks': '10.0.0.64/31|10.0.0.64/32'}, {'Next_Hop': 'hvettborre_FastEthernet0/0', 'Networks': '10.0.0.66/32|10.0.0.66/31'}]"
Hvettlarvik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'hvettlarvik_FastEthernet0/0', 'Networks': '10.0.0.66/31|10.0.0.67/32'}]"
Hvottvolda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0153,"[{'Next_Hop': 'hvottvolda_FastEthernet0/1', 'Networks': '10.0.0.92/31|10.0.0.93/32'}, {'Next_Hop': 'hvottvolda_FastEthernet0/0', 'Networks': '10.0.0.100/31|10.0.0.100/32'}]"
Nbttmottittrana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0853,"[{'Next_Hop': 'nbttmottittrana_FastEthernet0/1', 'Networks': '10.0.0.50/31|10.0.0.50/32'}, {'Next_Hop': 'nbttmottittrana_FastEthernet1/0', 'Networks': '10.0.0.52/31|10.0.0.52/32'}, {'Next_Hop': 'nbttmottittrana_FastEthernet1/1', 'Networks': '10.0.0.54/32|10.0.0.54/31'}, {'Next_Hop': 'nbttmottittrana_FastEthernet2/0', 'Networks': '10.0.0.56/32|10.0.0.56/31'}, {'Next_Hop': 'nbttmottittrana_FastEthernet0/0', 'Networks': '10.0.0.58/32|10.0.0.58/31'}, {'Next_Hop': 'nbttmottittrana_FastEthernet2/1', 'Networks': '10.0.0.60/32|10.0.0.60/31'}]"
Nordunetttkobenhavn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'nordunetttkobenhavn_FastEthernet0/0', 'Networks': '10.0.0.30/31|10.0.0.31/32'}]"
Nordunetttstockholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'nordunetttstockholm_FastEthernet0/0', 'Networks': '10.0.0.134/31|10.0.0.134/32'}]"
Nordunetttstockholmid58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'nordunetttstockholmid58_FastEthernet0/0', 'Networks': '10.0.0.21/32|10.0.0.20/31'}]"
Ntnutthovedbygget,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0.3317,"[{'Next_Hop': 'ntnutthovedbygget_FastEthernet3/1', 'Networks': '10.0.0.36/31|10.0.0.37/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet0/1', 'Networks': '10.0.0.71/32|10.0.0.70/31'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet0/0', 'Networks': '10.0.0.94/31|10.0.0.95/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet3/0', 'Networks': '10.0.0.118/31|10.0.0.119/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet1/1', 'Networks': '10.0.0.124/31|10.0.0.125/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet1/0', 'Networks': '10.0.0.132/31|10.0.0.133/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet2/0', 'Networks': '10.0.0.182/31|10.0.0.182/32'}, {'Next_Hop': 'ntnutthovedbygget_FastEthernet2/1', 'Networks': '10.0.0.184/32|10.0.0.184/31'}]"
Ntnuttrealfagbygget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,6,0.2792,"[{'Next_Hop': 'ntnuttrealfagbygget_FastEthernet2/0', 'Networks': '10.0.0.23/32|10.0.0.22/31'}, {'Next_Hop': 'ntnuttrealfagbygget_FastEthernet0/1', 'Networks': '10.0.0.61/32|10.0.0.60/31'}, {'Next_Hop': 'ntnuttrealfagbygget_FastEthernet0/0', 'Networks': '10.0.0.145/32|10.0.0.144/31'}, {'Next_Hop': 'ntnuttrealfagbygget_FastEthernet2/1', 'Networks': '10.0.0.158/31|10.0.0.159/32'}, {'Next_Hop': 'ntnuttrealfagbygget_FastEthernet1/0', 'Networks': '10.0.0.183/32|10.0.0.182/31'}, {'Next_Hop': 'ntnuttrealfagbygget_FastEthernet1/1', 'Networks': '10.0.0.186/32|10.0.0.186/31'}]"
Nyalesund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,"[{'Next_Hop': 'nyalesund_FastEthernet0/0', 'Networks': '10.0.0.140/32|10.0.0.140/31'}]"
Peerhingttstjordal_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,[]
Sa_shttkautokeino,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.0311,[]
Stockholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0496,"[{'Next_Hop': 'stockholm_FastEthernet1/0', 'Networks': '10.0.0.13/32|10.0.0.12/31'}, {'Next_Hop': 'stockholm_FastEthernet0/0', 'Networks': '10.0.0.69/32|10.0.0.68/31'}, {'Next_Hop': 'stockholm_FastEthernet0/1', 'Networks': '10.0.0.134/31|10.0.0.135/32'}]"
Uiattgrimstad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0055,"[{'Next_Hop': 'uiattgrimstad_FastEthernet0/1', 'Networks': '10.0.0.161/32|10.0.0.160/31'}, {'Next_Hop': 'uiattgrimstad_FastEthernet0/0', 'Networks': '10.0.0.162/32|10.0.0.162/31'}]"
Uiattkristiansand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0.0558,"[{'Next_Hop': 'uiattkristiansand_FastEthernet0/1', 'Networks': '10.0.0.32/31|10.0.0.33/32'}, {'Next_Hop': 'uiattkristiansand_FastEthernet1/0', 'Networks': '10.0.0.106/31|10.0.0.107/32'}, {'Next_Hop': 'uiattkristiansand_FastEthernet0/0', 'Networks': '10.0.0.160/32|10.0.0.160/31'}]"
Uibttbt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0.0454,"[{'Next_Hop': 'uibttbt_FastEthernet0/1', 'Networks': '10.0.0.11/32|10.0.0.10/31'}, {'Next_Hop': 'uibttbt_FastEthernet1/0', 'Networks': '10.0.0.109/32|10.0.0.108/31'}, {'Next_Hop': 'uibttbt_FastEthernet0/0', 'Networks': '10.0.0.114/31|10.0.0.115/32'}]"
Uibtthoyteklogibygget,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0.1528,"[{'Next_Hop': 'uibtthoyteklogibygget_FastEthernet2/1', 'Networks': '10.0.0.34/31|10.0.0.35/32'}, {'Next_Hop': 'uibtthoyteklogibygget_FastEthernet1/0', 'Networks': '10.0.0.96/31|10.0.0.97/32'}, {'Next_Hop': 'uibtthoyteklogibygget_FastEthernet0/1', 'Networks': '10.0.0.113/32|10.0.0.112/31'}, {'Next_Hop': 'uibtthoyteklogibygget_FastEthernet2/0', 'Networks': '10.0.0.114/31|10.0.0.114/32'}, {'Next_Hop': 'uibtthoyteklogibygget_FastEthernet0/0', 'Networks': '10.0.0.116/32|10.0.0.116/31'}, {'Next_Hop': 'uibtthoyteklogibygget_FastEthernet1/1', 'Networks': '10.0.0.118/31|10.0.0.118/32'}]"
Uio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,6,6,0.1818,"[{'Next_Hop': 'uio_FastEthernet2/0', 'Networks': '10.0.0.0/32|10.0.0.0/31'}, {'Next_Hop': 'uio_FastEthernet2/1', 'Networks': '10.0.0.2/31|10.0.0.2/32'}, {'Next_Hop': 'uio_FastEthernet0/0', 'Networks': '10.0.0.4/31|10.0.0.4/32'}, {'Next_Hop': 'uio_FastEthernet1/0', 'Networks': '10.0.0.6/32|10.0.0.6/31'}, {'Next_Hop': 'uio_FastEthernet0/1', 'Networks': '10.0.0.8/32|10.0.0.8/31'}, {'Next_Hop': 'uio_FastEthernet1/1', 'Networks': '10.0.0.10/32|10.0.0.10/31'}]"
Uioid1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,7,0.2516,"[{'Next_Hop': 'uioid1_FastEthernet2/1', 'Networks': '10.0.0.0/31|10.0.0.1/32'}, {'Next_Hop': 'uioid1_FastEthernet1/1', 'Networks': '10.0.0.12/32|10.0.0.12/31'}, {'Next_Hop': 'uioid1_FastEthernet3/0', 'Networks': '10.0.0.14/32|10.0.0.14/31'}, {'Next_Hop': 'uioid1_FastEthernet2/0', 'Networks': '10.0.0.16/31|10.0.0.16/32'}, {'Next_Hop': 'uioid1_FastEthernet0/0', 'Networks': '10.0.0.18/32|10.0.0.18/31'}, {'Next_Hop': 'uioid1_FastEthernet0/1', 'Networks': '10.0.0.20/32|10.0.0.20/31'}, {'Next_Hop': 'uioid1_FastEthernet1/0', 'Networks': '10.0.0.22/32|10.0.0.22/31'}]"
Uiottstttolavsplasstt5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,8,0.3231,"[{'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet3/0', 'Networks': '10.0.0.2/31|10.0.0.3/32'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet3/1', 'Networks': '10.0.0.15/32|10.0.0.14/31'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet0/1', 'Networks': '10.0.0.24/31|10.0.0.25/32'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet0/0', 'Networks': '10.0.0.28/31|10.0.0.28/32'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet1/0', 'Networks': '10.0.0.30/32|10.0.0.30/31'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet2/0', 'Networks': '10.0.0.32/32|10.0.0.32/31'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet2/1', 'Networks': '10.0.0.34/31|10.0.0.34/32'}, {'Next_Hop': 'uiottstttolavsplasstt5_FastEthernet1/1', 'Networks': '10.0.0.36/31|10.0.0.36/32'}]"
Uisttstavanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0.0399,"[{'Next_Hop': 'uisttstavanger_FastEthernet1/1', 'Networks': '10.0.0.102/31|10.0.0.102/32'}, {'Next_Hop': 'uisttstavanger_FastEthernet0/0', 'Networks': '10.0.0.104/31|10.0.0.104/32'}, {'Next_Hop': 'uisttstavanger_FastEthernet0/1', 'Networks': '10.0.0.106/31|10.0.0.106/32'}, {'Next_Hop': 'uisttstavanger_FastEthernet1/0', 'Networks': '10.0.0.108/31|10.0.0.108/32'}]"
Uito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0.0677,"[{'Next_Hop': 'uito_FastEthernet0/1', 'Networks': '10.0.0.76/31|10.0.0.77/32'}, {'Next_Hop': 'uito_FastEthernet0/0', 'Networks': '10.0.0.88/32|10.0.0.88/31'}, {'Next_Hop': 'uito_FastEthernet1/0', 'Networks': '10.0.0.90/31|10.0.0.90/32'}]"
Uitoid43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0.1265,"[{'Next_Hop': 'uitoid43_FastEthernet0/1', 'Networks': '10.0.0.80/31|10.0.0.81/32'}, {'Next_Hop': 'uitoid43_FastEthernet1/1', 'Networks': '10.0.0.90/31|10.0.0.91/32'}, {'Next_Hop': 'uitoid43_FastEthernet0/0', 'Networks': '10.0.0.156/32|10.0.0.156/31'}, {'Next_Hop': 'uitoid43_FastEthernet1/0', 'Networks': '10.0.0.158/32|10.0.0.158/31'}]"
Uitottkarasjok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0042,"[{'Next_Hop': 'uitottkarasjok_FastEthernet0/1', 'Networks': '10.0.0.84/32|10.0.0.84/31'}, {'Next_Hop': 'uitottkarasjok_FastEthernet0/0', 'Networks': '10.0.0.86/31|10.0.0.86/32'}]"
Umbttas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.009,"[{'Next_Hop': 'umbttas_FastEthernet0/1', 'Networks': '10.0.0.7/32|10.0.0.6/31'}, {'Next_Hop': 'umbttas_FastEthernet0/0', 'Networks': '10.0.0.166/31|10.0.0.166/32'}]"
Unikttkjeller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0372,"[{'Next_Hop': 'unikttkjeller_FastEthernet0/1', 'Networks': '10.0.0.16/31|10.0.0.17/32'}, {'Next_Hop': 'unikttkjeller_FastEthernet0/0', 'Networks': '10.0.0.46/31|10.0.0.46/32'}]"
Uninettttteknobyen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0898,"[{'Next_Hop': 'uninettttteknobyen_FastEthernet0/1', 'Networks': '10.0.0.150/31|10.0.0.151/32'}, {'Next_Hop': 'uninettttteknobyen_FastEthernet1/0', 'Networks': '10.0.0.184/31|10.0.0.185/32'}, {'Next_Hop': 'uninettttteknobyen_FastEthernet1/1', 'Networks': '10.0.0.186/31|10.0.0.187/32'}, {'Next_Hop': 'uninettttteknobyen_FastEthernet0/0', 'Networks': '10.0.0.188/32|10.0.0.188/31'}]"
Unisttsvalbard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.029,"[{'Next_Hop': 'unisttsvalbard_FastEthernet0/0', 'Networks': '10.0.0.79/32|10.0.0.78/31'}, {'Next_Hop': 'unisttsvalbard_FastEthernet0/1', 'Networks': '10.0.0.140/31|10.0.0.141/32'}]"
Vethsttsandnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'vethsttsandnes_FastEthernet0/0', 'Networks': '10.0.0.102/31|10.0.0.103/32'}]"
