,Abbeville,Abingdon,Adel,Aiken,Albany,Anderson,Andrews,Ashburn,Asheville,Ashland,Athens,Atlanta,Augusta,Avonttpark,Baldwin,Beaufort,Bethune,Birmingham,Blacksburg,Blairsville,Bland,Blitchton,Blountstown,Bluefield,Blueridge,Boone,Bristol,Brysonttcity,Burlington,Calhoun,Canton,Carlisle,Cartersville,Chamersburg,Charleston,Charlestonid102,Charlotte,Charlottesville,Chattanooga,Cherokee,Chester,Christiansburg,Clemson,Columbia,Columbus,Concord,Copperhill,Courtney,Crestview,Dalton,Danville,Darien,Dothan,Douglas,Durham,Easley,Edinburg,Ellijay,Fayetteville,Florence,Fortttmyers,Franklin,Frontttroyal,Georgetown,Gettysburg,Greensboro,Greenville,Greenvilleid91,Greenwood,Hagerstown,Harrisonburg,Hartwell,Hawkinsville,Hayesville,Herndon,Hiawassee,Hickory,Hickorytttavern,Highttpoint,Hiltontthead,Hinesville,Huntington,Jacksonville,Jacksonvilleid15,Johnsonttcity,Kernersville,Kershaw,Kingsport,Kinston,Lakettcity,Lancaster,Leesburg,Leesburgid143,Leslie,Levelttcross,Lexington,Lexingtonid123,Lynchburg,Macon,Maitland,Maretta,Marion,Martinsburg,Martinsville,Metter,Mobile,Monksttcorner,Montgomery,Murphy,Myrtlettbeach,Nahunta,Newttbern,Nodeid78,Nodeid79,Nodeid82,Nodeid84,Nodeid85,Nodeid86,Ocala,Omega,Orangeburg,Panamattcity,Peerdothan_0,Peervadosta_1,Pembroke,Pensacola,Radford,Raleigh,Rentz,Ringgold,Roanoke,Rocktthill,Rockyttmount,Rockyttmountid125,Salisbury,Savannah,Sparta,Spartanburg,Staunton,Stephensttcity,Sumter,Sylva,Tallahassee,Tarttheel,Tifton,Toccoa,Troutville,Vadosta,Walterboro,Warrenton,Warwick,Waycross,Waynesboro,Willacoochee,Wilmington,Winchester,Winterttpark,Wytheville,Yemassee,Youngttharris,d_in,d_out,CB,EC
Bristol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.025,"[{'Next_Hop': 'bristol_FastEthernet0/0', 'Networks': '10.0.0.68/32|10.0.0.68/31'}, {'Next_Hop': 'bristol_FastEthernet0/1', 'Networks': '10.0.0.70/31|10.0.0.70/32'}, {'Next_Hop': 'bristol_FastEthernet1/0', 'Networks': '10.0.0.72/32|10.0.0.72/31'}]"
Brysonttcity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0126,"[{'Next_Hop': 'brysonttcity_FastEthernet0/0', 'Networks': '10.0.1.48/31|10.0.1.49/32'}, {'Next_Hop': 'brysonttcity_FastEthernet0/1', 'Networks': '10.0.1.53/32|10.0.1.52/31'}]"
Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2419,"[{'Next_Hop': 'burlington_FastEthernet0/0', 'Networks': '10.0.0.46/32|10.0.0.46/31'}, {'Next_Hop': 'burlington_FastEthernet0/1', 'Networks': '10.0.0.48/32|10.0.0.48/31'}]"
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'calhoun_FastEthernet0/0', 'Networks': '10.0.0.211/32|10.0.0.210/31'}]"
Canton,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1822,"[{'Next_Hop': 'canton_FastEthernet0/1', 'Networks': '10.0.0.202/31|10.0.0.202/32'}, {'Next_Hop': 'canton_FastEthernet0/0', 'Networks': '10.0.0.204/31|10.0.0.204/32'}]"
Carlisle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'carlisle_FastEthernet0/0', 'Networks': '10.0.1.111/32|10.0.1.110/31'}]"
Cartersville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0126,"[{'Next_Hop': 'cartersville_FastEthernet0/1', 'Networks': '10.0.0.209/32|10.0.0.208/31'}, {'Next_Hop': 'cartersville_FastEthernet0/0', 'Networks': '10.0.0.210/32|10.0.0.210/31'}]"
Chamersburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.025,"[{'Next_Hop': 'chamersburg_FastEthernet0/1', 'Networks': '10.0.1.106/31|10.0.1.107/32'}, {'Next_Hop': 'chamersburg_FastEthernet0/0', 'Networks': '10.0.1.108/32|10.0.1.108/31'}]"
Charleston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.025,"[{'Next_Hop': 'charleston_FastEthernet0/1', 'Networks': '10.0.0.146/31|10.0.0.147/32'}, {'Next_Hop': 'charleston_FastEthernet0/0', 'Networks': '10.0.0.152/31|10.0.0.152/32'}]"
Charlestonid102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0.0113,"[{'Next_Hop': 'charlestonid102_FastEthernet0/0', 'Networks': '10.0.1.34/31|10.0.1.34/32'}, {'Next_Hop': 'charlestonid102_FastEthernet0/1', 'Networks': '10.0.1.36/32|10.0.1.36/31'}]"
Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2262,"[{'Next_Hop': 'charlotte_FastEthernet0/0', 'Networks': '10.0.0.109/32|10.0.0.108/31'}, {'Next_Hop': 'charlotte_FastEthernet1/0', 'Networks': '10.0.1.58/32|10.0.1.58/31'}, {'Next_Hop': 'charlotte_FastEthernet0/1', 'Networks': '10.0.1.60/32|10.0.1.60/31'}]"
Charlottesville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0.1699,"[{'Next_Hop': 'charlottesville_FastEthernet0/1', 'Networks': '10.0.1.66/32|10.0.1.66/31'}, {'Next_Hop': 'charlottesville_FastEthernet0/0', 'Networks': '10.0.1.68/32|10.0.1.68/31'}]"
Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,"[{'Next_Hop': 'chattanooga_FastEthernet0/0', 'Networks': '10.0.0.214/31|10.0.0.215/32'}, {'Next_Hop': 'chattanooga_FastEthernet0/1', 'Networks': '10.0.0.218/31|10.0.0.219/32'}]"
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0006,"[{'Next_Hop': 'cherokee_FastEthernet0/0', 'Networks': '10.0.1.52/32|10.0.1.52/31'}, {'Next_Hop': 'cherokee_FastEthernet0/1', 'Networks': '10.0.1.54/32|10.0.1.54/31'}]"
Chester,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.246,"[{'Next_Hop': 'chester_FastEthernet0/1', 'Networks': '10.0.0.28/31|10.0.0.29/32'}, {'Next_Hop': 'chester_FastEthernet0/0', 'Networks': '10.0.0.80/31|10.0.0.81/32'}, {'Next_Hop': 'chester_FastEthernet1/0', 'Networks': '10.0.1.63/32|10.0.1.62/31'}]"
Christiansburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0361,"[{'Next_Hop': 'christiansburg_FastEthernet0/0', 'Networks': '10.0.0.167/32|10.0.0.166/31'}, {'Next_Hop': 'christiansburg_FastEthernet0/1', 'Networks': '10.0.0.172/31|10.0.0.173/32'}]"
Clemson,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0361,"[{'Next_Hop': 'clemson_FastEthernet0/0', 'Networks': '10.0.0.82/31|10.0.0.83/32'}, {'Next_Hop': 'clemson_FastEthernet1/0', 'Networks': '10.0.0.85/32|10.0.0.84/31'}, {'Next_Hop': 'clemson_FastEthernet0/1', 'Networks': '10.0.1.8/31|10.0.1.9/32'}, {'Next_Hop': 'clemson_FastEthernet1/1', 'Networks': '10.0.1.24/32|10.0.1.24/31'}]"
Columbia,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5178,"[{'Next_Hop': 'columbia_FastEthernet0/0', 'Networks': '10.0.0.20/31|10.0.0.20/32'}, {'Next_Hop': 'columbia_FastEthernet0/1', 'Networks': '10.0.0.22/32|10.0.0.22/31'}, {'Next_Hop': 'columbia_FastEthernet2/0', 'Networks': '10.0.0.24/32|10.0.0.24/31'}, {'Next_Hop': 'columbia_FastEthernet1/1', 'Networks': '10.0.0.26/31|10.0.0.26/32'}, {'Next_Hop': 'columbia_FastEthernet1/0', 'Networks': '10.0.0.28/31|10.0.0.28/32'}]"
Columbus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0364,"[{'Next_Hop': 'columbus_FastEthernet0/0', 'Networks': '10.0.0.230/31|10.0.0.231/32'}, {'Next_Hop': 'columbus_FastEthernet0/1', 'Networks': '10.0.1.115/32|10.0.1.114/31'}]"
Concord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1945,"[{'Next_Hop': 'concord_FastEthernet0/1', 'Networks': '10.0.0.99/32|10.0.0.98/31'}, {'Next_Hop': 'concord_FastEthernet0/0', 'Networks': '10.0.0.108/31|10.0.0.108/32'}]"
Copperhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0475,"[{'Next_Hop': 'copperhill_FastEthernet0/0', 'Networks': '10.0.0.220/31|10.0.0.220/32'}, {'Next_Hop': 'copperhill_FastEthernet0/1', 'Networks': '10.0.0.222/31|10.0.0.222/32'}]"
Courtney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0614,"[{'Next_Hop': 'courtney_FastEthernet0/1', 'Networks': '10.0.0.105/32|10.0.0.104/31'}, {'Next_Hop': 'courtney_FastEthernet0/0', 'Networks': '10.0.0.116/31|10.0.0.117/32'}]"
Crestview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.002,"[{'Next_Hop': 'crestview_FastEthernet0/1', 'Networks': '10.0.0.174/32|10.0.0.174/31'}, {'Next_Hop': 'crestview_FastEthernet0/0', 'Networks': '10.0.0.176/31|10.0.0.176/32'}]"
Dalton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.025,"[{'Next_Hop': 'dalton_FastEthernet1/0', 'Networks': '10.0.0.212/32|10.0.0.212/31'}, {'Next_Hop': 'dalton_FastEthernet0/0', 'Networks': '10.0.0.214/32|10.0.0.214/31'}, {'Next_Hop': 'dalton_FastEthernet0/1', 'Networks': '10.0.0.216/31|10.0.0.216/32'}]"
Danville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2669,"[{'Next_Hop': 'danville_FastEthernet0/0', 'Networks': '10.0.0.90/31|10.0.0.91/32'}, {'Next_Hop': 'danville_FastEthernet0/1', 'Networks': '10.0.1.73/32|10.0.1.72/31'}, {'Next_Hop': 'danville_FastEthernet1/0', 'Networks': '10.0.1.82/31|10.0.1.83/32'}]"
Darien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.055,"[{'Next_Hop': 'darien_FastEthernet0/1', 'Networks': '10.0.0.6/32|10.0.0.6/31'}, {'Next_Hop': 'darien_FastEthernet0/0', 'Networks': '10.0.0.8/32|10.0.0.8/31'}]"
Dothan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0287,"[{'Next_Hop': 'dothan_FastEthernet0/1', 'Networks': '10.0.0.178/32|10.0.0.178/31'}, {'Next_Hop': 'dothan_FastEthernet0/0', 'Networks': '10.0.0.180/32|10.0.0.180/31'}, {'Next_Hop': 'dothan_FastEthernet1/0', 'Networks': '10.0.0.182/32|10.0.0.182/31'}]"
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0.0145,"[{'Next_Hop': 'douglas_FastEthernet0/0', 'Networks': '10.0.0.14/31|10.0.0.15/32'}, {'Next_Hop': 'douglas_FastEthernet0/1', 'Networks': '10.0.0.138/31|10.0.0.139/32'}]"
