,"""stttkittstt&ttnevis""",Antigua,Bahamas,Barbados,Belize,Bonaire,Caymanttislands,Columbia,Costattrica,Curacao,Dominica,Dominicanttrepublic,Ecuador,Elttsalvador,Grenada,Guadeloupe,Guatemala,Guyana,Honduras,Jamaica,Martinique,Mexico,Nicaragua,Nodeid0,Nodeid1,Nodeid13,Nodeid14,Nodeid15,Nodeid17,Nodeid22,Nodeid24,Nodeid26,Nodeid27,Nodeid28,Nodeid29,Nodeid31,Nodeid32,Nodeid33,Nodeid34,Nodeid35,Nodeid37,Nodeid38,Nodeid39,Nodeid41,Nodeid44,Nodeid45,Nodeid46,Nodeid49,Nodeid50,Nodeid56,Nodeid58,Nodeid59,Nodeid60,Nodeid62,Nodeid63,Nodeid67,Nodeid69,Nodeid7,Nodeid8,Nodeid9,Panama,Peermartinique_0,Puertottrico,Stttcroix,Stttkittstt&ttnevis,Stttmartin,Stttvincent,Suriname,Trinidadttandtttobago,Turksttandttcaicos,Usa,Venezuela,d_in,d_out,CB,EC
Nodeid44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1335,"[{'Next_Hop': 'nodeid44_FastEthernet0/0', 'Networks': '10.0.0.106/31|10.0.0.107/32'}, {'Next_Hop': 'nodeid44_FastEthernet0/1', 'Networks': '10.0.0.111/32|10.0.0.110/31'}, {'Next_Hop': 'nodeid44_FastEthernet1/1', 'Networks': '10.0.0.138/31|10.0.0.138/32'}, {'Next_Hop': 'nodeid44_FastEthernet1/0', 'Networks': '10.0.0.140/31|10.0.0.140/32'}]"
Nodeid45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0351,"[{'Next_Hop': 'nodeid45_FastEthernet0/0', 'Networks': '10.0.0.103/32|10.0.0.102/31'}, {'Next_Hop': 'nodeid45_FastEthernet0/1', 'Networks': '10.0.0.117/32|10.0.0.116/31'}, {'Next_Hop': 'nodeid45_FastEthernet1/0', 'Networks': '10.0.0.140/31|10.0.0.141/32'}, {'Next_Hop': 'nodeid45_FastEthernet1/1', 'Networks': '10.0.0.142/32|10.0.0.142/31'}]"
Nodeid46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1874,"[{'Next_Hop': 'nodeid46_FastEthernet1/0', 'Networks': '10.0.0.43/32|10.0.0.42/31'}, {'Next_Hop': 'nodeid46_FastEthernet0/1', 'Networks': '10.0.0.99/32|10.0.0.98/31'}, {'Next_Hop': 'nodeid46_FastEthernet0/0', 'Networks': '10.0.0.137/32|10.0.0.136/31'}]"
Nodeid49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0604,"[{'Next_Hop': 'nodeid49_FastEthernet0/0', 'Networks': '10.0.0.105/32|10.0.0.104/31'}, {'Next_Hop': 'nodeid49_FastEthernet0/1', 'Networks': '10.0.0.113/32|10.0.0.112/31'}, {'Next_Hop': 'nodeid49_FastEthernet1/0', 'Networks': '10.0.0.143/32|10.0.0.142/31'}]"
Nodeid50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,0.1865,"[{'Next_Hop': 'nodeid50_FastEthernet0/0', 'Networks': '10.0.0.37/32|10.0.0.36/31'}, {'Next_Hop': 'nodeid50_FastEthernet0/1', 'Networks': '10.0.0.148/31|10.0.0.148/32'}, {'Next_Hop': 'nodeid50_FastEthernet1/0', 'Networks': '10.0.0.150/32|10.0.0.150/31'}]"
Nodeid56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.1648,"[{'Next_Hop': 'nodeid56_FastEthernet0/0', 'Networks': '10.0.0.153/32|10.0.0.152/31'}, {'Next_Hop': 'nodeid56_FastEthernet0/1', 'Networks': '10.0.0.154/31|10.0.0.154/32'}]"
Nodeid58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1335,"[{'Next_Hop': 'nodeid58_FastEthernet0/0', 'Networks': '10.0.0.63/32|10.0.0.62/31'}, {'Next_Hop': 'nodeid58_FastEthernet0/1', 'Networks': '10.0.0.156/32|10.0.0.156/31'}]"
Nodeid59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1408,"[{'Next_Hop': 'nodeid59_FastEthernet0/0', 'Networks': '10.0.0.101/32|10.0.0.100/31'}, {'Next_Hop': 'nodeid59_FastEthernet0/1', 'Networks': '10.0.0.109/32|10.0.0.108/31'}, {'Next_Hop': 'nodeid59_FastEthernet1/0', 'Networks': '10.0.0.138/31|10.0.0.139/32'}, {'Next_Hop': 'nodeid59_FastEthernet1/1', 'Networks': '10.0.0.157/32|10.0.0.156/31'}]"
Nodeid60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0207,"[{'Next_Hop': 'nodeid60_FastEthernet0/0', 'Networks': '10.0.0.158/31|10.0.0.158/32'}, {'Next_Hop': 'nodeid60_FastEthernet0/1', 'Networks': '10.0.0.160/32|10.0.0.160/31'}]"
Nodeid62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'nodeid62_FastEthernet0/0', 'Networks': '10.0.0.164/31|10.0.0.164/32'}]"
Nodeid63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0551,"[{'Next_Hop': 'nodeid63_FastEthernet1/0', 'Networks': '10.0.0.165/32|10.0.0.164/31'}, {'Next_Hop': 'nodeid63_FastEthernet0/0', 'Networks': '10.0.0.166/31|10.0.0.166/32'}, {'Next_Hop': 'nodeid63_FastEthernet0/1', 'Networks': '10.0.0.168/31|10.0.0.168/32'}]"
Nodeid67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1761,"[{'Next_Hop': 'nodeid67_FastEthernet0/1', 'Networks': '10.0.0.95/32|10.0.0.94/31'}, {'Next_Hop': 'nodeid67_FastEthernet1/0', 'Networks': '10.0.0.96/31|10.0.0.97/32'}, {'Next_Hop': 'nodeid67_FastEthernet0/0', 'Networks': '10.0.0.170/32|10.0.0.170/31'}]"
Nodeid69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0268,"[{'Next_Hop': 'nodeid69_FastEthernet0/1', 'Networks': '10.0.0.161/32|10.0.0.160/31'}, {'Next_Hop': 'nodeid69_FastEthernet0/0', 'Networks': '10.0.0.162/31|10.0.0.163/32'}]"
Nodeid7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.2785,"[{'Next_Hop': 'nodeid7_FastEthernet0/0', 'Networks': '10.0.0.11/32|10.0.0.10/31'}, {'Next_Hop': 'nodeid7_FastEthernet0/1', 'Networks': '10.0.0.25/32|10.0.0.24/31'}]"
Nodeid8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0.0046,"[{'Next_Hop': 'nodeid8_FastEthernet1/0', 'Networks': '10.0.0.34/31|10.0.0.34/32'}, {'Next_Hop': 'nodeid8_FastEthernet0/0', 'Networks': '10.0.0.36/32|10.0.0.36/31'}, {'Next_Hop': 'nodeid8_FastEthernet0/1', 'Networks': '10.0.0.38/31|10.0.0.38/32'}]"
Nodeid9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1833,"[{'Next_Hop': 'nodeid9_FastEthernet0/0', 'Networks': '10.0.0.12/31|10.0.0.13/32'}, {'Next_Hop': 'nodeid9_FastEthernet0/1', 'Networks': '10.0.0.40/32|10.0.0.40/31'}, {'Next_Hop': 'nodeid9_FastEthernet1/0', 'Networks': '10.0.0.42/31|10.0.0.42/32'}]"
Panama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0726,"[{'Next_Hop': 'panama_FastEthernet0/0', 'Networks': '10.0.0.15/32|10.0.0.14/31'}, {'Next_Hop': 'panama_FastEthernet0/1', 'Networks': '10.0.0.18/32|10.0.0.18/31'}, {'Next_Hop': 'panama_FastEthernet1/0', 'Networks': '10.0.0.20/31|10.0.0.20/32'}]"
Peermartinique_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,[]
Puertottrico,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0.3211,"[{'Next_Hop': 'puertottrico_FastEthernet0/0', 'Networks': '10.0.0.26/31|10.0.0.27/32'}, {'Next_Hop': 'puertottrico_FastEthernet1/1', 'Networks': '10.0.0.146/31|10.0.0.147/32'}, {'Next_Hop': 'puertottrico_FastEthernet0/1', 'Networks': '10.0.0.149/32|10.0.0.148/31'}, {'Next_Hop': 'puertottrico_FastEthernet1/0', 'Networks': '10.0.0.155/32|10.0.0.154/31'}]"
Stttcroix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1652,"[{'Next_Hop': 'stttcroix_FastEthernet1/0', 'Networks': '10.0.0.38/31|10.0.0.39/32'}, {'Next_Hop': 'stttcroix_FastEthernet0/0', 'Networks': '10.0.0.80/31|10.0.0.81/32'}, {'Next_Hop': 'stttcroix_FastEthernet0/1', 'Networks': '10.0.0.151/32|10.0.0.150/31'}]"
Stttkittstt&ttnevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,"[{'Next_Hop': 'stttkittstt&ttnevis_FastEthernet0/0', 'Networks': '10.0.0.67/32|10.0.0.66/31'}, {'Next_Hop': 'stttkittstt&ttnevis_FastEthernet0/1', 'Networks': '10.0.0.73/32|10.0.0.72/31'}, {'Next_Hop': 'stttkittstt&ttnevis_FastEthernet1/0', 'Networks': '10.0.0.144/32|10.0.0.144/31'}]"
Stttmartin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,0.0354,"[{'Next_Hop': 'stttmartin_FastEthernet0/0', 'Networks': '10.0.0.35/32|10.0.0.34/31'}, {'Next_Hop': 'stttmartin_FastEthernet1/0', 'Networks': '10.0.0.145/32|10.0.0.144/31'}, {'Next_Hop': 'stttmartin_FastEthernet0/1', 'Networks': '10.0.0.146/32|10.0.0.146/31'}]"
Stttvincent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0.1241,"[{'Next_Hop': 'stttvincent_FastEthernet0/0', 'Networks': '10.0.0.31/32|10.0.0.30/31'}, {'Next_Hop': 'stttvincent_FastEthernet0/1', 'Networks': '10.0.0.44/32|10.0.0.44/31'}]"
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,"[{'Next_Hop': 'suriname_FastEthernet0/0', 'Networks': '10.0.0.119/32|10.0.0.118/31'}]"
Trinidadttandtttobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0.119,"[{'Next_Hop': 'trinidadttandtttobago_FastEthernet1/0', 'Networks': '10.0.0.45/32|10.0.0.44/31'}, {'Next_Hop': 'trinidadttandtttobago_FastEthernet0/0', 'Networks': '10.0.0.86/31|10.0.0.87/32'}, {'Next_Hop': 'trinidadttandtttobago_FastEthernet0/1', 'Networks': '10.0.0.123/32|10.0.0.122/31'}]"
Turksttandttcaicos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1361,"[{'Next_Hop': 'turksttandttcaicos_FastEthernet0/1', 'Networks': '10.0.0.58/32|10.0.0.58/31'}, {'Next_Hop': 'turksttandttcaicos_FastEthernet0/0', 'Networks': '10.0.0.60/31|10.0.0.60/32'}]"
Usa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0915,"[{'Next_Hop': 'usa_FastEthernet0/0', 'Networks': '10.0.0.114/31|10.0.0.115/32'}, {'Next_Hop': 'usa_FastEthernet0/1', 'Networks': '10.0.0.129/32|10.0.0.128/31'}]"
Venezuela,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2739,"[{'Next_Hop': 'venezuela_FastEthernet0/0', 'Networks': '10.0.0.22/32|10.0.0.22/31'}, {'Next_Hop': 'venezuela_FastEthernet0/1', 'Networks': '10.0.0.24/31|10.0.0.24/32'}]"
